,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
7186,7693,Go Play: Lumberjacks,Wii,2009,Simulation,Majesco Entertainment,0.18,0,0,0.01,0.2
7187,7694,Looney Tunes: Space Race,PS2,2002,Racing,Infogrames,0.1,0.08,0,0.03,0.2
7188,7695,Strategy Challenge: Crosswords and More!,PSP,2006,Strategy,Crave Entertainment,0.18,0,0,0.01,0.2
7189,7696,NASCAR Unleashed,Wii,2011,Racing,Activision,0.18,0,0,0.01,0.2
7190,7697,Backyard Hockey,GBA,2003,Sports,Atari,0.14,0.05,0,0,0.2
7191,7698,Playboy: The Mansion,PS2,2005,Simulation,Ubisoft,0.1,0.08,0,0.03,0.2
7192,7699,Jikkyou Powerful Pro Yakyuu 2010,PSP,2010,Sports,Konami Digital Entertainment,0,0,0.2,0,0.2
7193,7700,Shiren the Wanderer,Wii,2008,Role-Playing,Sega,0.08,0,0.11,0.01,0.2
7194,7701,Ore no Shikabane o Koete Yuke,PSP,2011,Role-Playing,Sony Computer Entertainment,0,0,0.2,0,0.2
7195,7702,Shaman King: Spirit of Shamans,PS,2002,Action,Namco Bandai Games,0,0,0.18,0.01,0.2
7196,7703,Tiger Woods PGA Tour 06,PSP,2005,Sports,Electronic Arts,0.18,0,0,0.01,0.2
7197,7704,Conan,X360,2007,Action,THQ,0.16,0.02,0,0.02,0.2
7198,7705,Ratatouille,GBA,2007,Action,THQ,0.14,0.05,0,0,0.2
7199,7707,Warriors Orochi,X360,2007,Action,Tecmo Koei,0.17,0.01,0,0.02,0.2
7201,7709,The Thing,XB,2002,Adventure,Vivendi Games,0.15,0.04,0,0.01,0.2
7202,7710,Tom and Jerry in House Trap,PS,2000,Action,Ubisoft,0.11,0.07,0,0.01,0.2
7203,7711,Power Rangers: Time Force,GBA,2001,Action,THQ,0.14,0.05,0,0,0.2
7204,7712,101-in-1 Explosive Megamix,DS,2008,Strategy,Nordcurrent,0.05,0.13,0,0.02,0.2
7205,7713,X-Men Origins: Wolverine,DS,2009,Action,Activision,0.15,0.03,0,0.02,0.2
7206,7714,Jikkyou Powerful Pro Yakyuu 2011,PSP,2011,Sports,Konami Digital Entertainment,0,0,0.2,0,0.2
7208,7716,Baldur's Gate: Dark Alliance,XB,2002,Role-Playing,Virgin Interactive,0.15,0.04,0,0.01,0.2
7209,7717,Family Guy,PSP,2006,Action,Take-Two Interactive,0.18,0,0,0.02,0.2
7210,7718,Prince of Persia: Warrior Within,GC,2004,Action,Ubisoft,0.15,0.04,0,0.01,0.2
7211,7719,UFC: Tapout,XB,2002,Action,Crave Entertainment,0.14,0.05,0,0.01,0.2
7212,7720,Aikatsu! Cinderella Lesson,3DS,2012,Role-Playing,Namco Bandai Games,0,0,0.2,0,0.2
7213,7721,Marvel Super Hero Squad: Comic Combat,Wii,2011,Action,THQ,0.15,0.03,0,0.01,0.2
7214,7722,Test Drive Unlimited 2,PC,,Racing,Atari,0.05,0.11,0,0.03,0.2
7215,7724,Predator: Concrete Jungle,PS2,2005,Action,Vivendi Games,0.1,0.07,0,0.03,0.2
7216,7725,Beyblade: Metal Fusion - Battle Fortress,Wii,2009,Action,Konami Digital Entertainment,0.15,0,0.03,0.01,0.2
7217,7726,WipeOut 3 The Game,3DS,2012,Action,Activision,0.18,0,0,0.01,0.2
7218,7727,Big Mutha Truckers 2,PS2,2005,Racing,Xplosiv,0.1,0.07,0,0.03,0.2
7219,7728,Shutter Island,PC,2009,Adventure,Merscom LLC,0,0.17,0,0.03,0.2
7221,7730,Demon Gaze,PSV,2013,Role-Playing,Nippon Ichi Software,0.06,0.03,0.08,0.02,0.2
7222,7731,Zombie Army Trilogy,PS4,2015,Action,Rebellion Developments,0.04,0.12,0,0.03,0.2
7223,7732,NHL FaceOff 2001,PS2,2001,Sports,Sony Computer Entertainment,0.1,0.07,0,0.02,0.2
7224,7733,Mana Khemia 2: Fall of Alchemy,PS2,2008,Role-Playing,Gust,0.07,0.05,0.05,0.02,0.2
7225,7734,The Great Escape,PS2,2003,Action,SCi,0.1,0.07,0,0.02,0.2
7227,7736,Nostalgia,DS,2008,Role-Playing,Tecmo Koei,0.16,0,0.02,0.01,0.19
7228,7737,DiRT Showdown,PS3,2012,Racing,Codemasters,0.02,0.13,0,0.04,0.19
7229,7738,Iron Chef America: Supreme Cuisine,DS,2008,Simulation,Destineer,0.18,0,0,0.01,0.19
7230,7739,Arcade Shooting Gallery,Wii,2008,Action,Zoo Games,0.18,0,0,0.01,0.19
7231,7740,The Rise of the Argonauts,PS3,2008,Role-Playing,Codemasters,0.05,0.12,0,0.03,0.19
7232,7741,Big Mutha Truckers,XB,2002,Racing,Empire Interactive,0.15,0.04,0,0.01,0.19
7234,7744,The King of Fighters XI,PS2,2006,Action,Ignition Entertainment,0.07,0.06,0.04,0.02,0.19
7235,7745,Ninja Gaiden 3,WiiU,2012,Action,Nintendo,0.15,0.03,0,0.02,0.19
7236,7746,Metro: Last Light,PC,2013,Action,Deep Silver,0.06,0.11,0,0.02,0.19
7237,7747,Dragon Ball Z: Idainaru Dragon Ball Densetsu,PS,1996,Action,Namco Bandai Games,0,0,0.18,0.01,0.19
7238,7748,Silent Hill HD Collection,X360,2012,Action,Konami Digital Entertainment,0.11,0.06,0.01,0.02,0.19
7239,7749,Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,0.07,0.08,0,0.04,0.19
7240,7750,Conflict: Denied Ops,X360,2008,Action,Eidos Interactive,0.08,0.09,0,0.02,0.19
7241,7751,Saw II: Flesh & Blood,PS3,2010,Action,Konami Digital Entertainment,0.1,0.07,0,0.03,0.19
7242,7752,Ice Age: Dawn of the Dinosaurs,PS3,2009,Action,Activision,0.13,0.04,0,0.02,0.19
7243,7753,Sniper Elite,PS2,2005,Action,Ubisoft,0.1,0.07,0,0.02,0.19
7244,7754,Arc Rise Fantasia,Wii,2009,Role-Playing,Marvelous Interactive,0.13,0,0.06,0.01,0.19
7246,7756,Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,DS,2005,Action,Sega,0,0,0.19,0,0.19
7247,7757,Dynasty Warriors: Gundam 2,X360,2008,Action,Namco Bandai Games,0.07,0.03,0.08,0.01,0.19
7248,7758,Petz Pony: Beauty Pageant,DS,2009,Simulation,Ubisoft,0.18,0,0,0.01,0.19
7250,7760,Breath of Fire II,GBA,2001,Role-Playing,Ubisoft,0.14,0.05,0,0,0.19
7251,7761,The Spiderwick Chronicles,Wii,2008,Action,Vivendi Games,0.17,0.01,0,0.01,0.19
7253,7763,Aliens vs Predator,PC,2010,Action,Sega,0,0.17,0,0.02,0.19
7254,7765,Steins;Gate,PSP,2011,Adventure,Kadokawa Shoten,0,0,0.19,0,0.19
7255,7766,Enchanted Arms,X360,2006,Role-Playing,Ubisoft,0.16,0.02,0,0.02,0.19
7256,7767,Dinotopia: The Timestone Pirates,GBA,2002,Action,TDK Core,0.14,0.05,0,0,0.19
7257,7768,Power Pro Kun Pocket 12,DS,2009,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19
7258,7769,J-League Jikkyou Winning Eleven 3,PS,1997,Sports,Konami Digital Entertainment,0,0,0.18,0.01,0.19
7259,7770,The Sims 4: Get Together,PC,2015,Simulation,Electronic Arts,0.05,0.13,0,0.01,0.19
7262,7773,Quantum Theory,PS3,2010,Action,Tecmo Koei,0.05,0.09,0.02,0.03,0.19
7263,7774,Manhunt,XB,2004,Action,Take-Two Interactive,0.14,0.04,0,0.01,0.19
7264,7775,NCAA Final Four 2003,PS2,2002,Sports,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19
7265,7776,Air Conflicts: Secret Wars,PS3,2011,Simulation,bitComposer Games,0.1,0.06,0,0.03,0.19
7269,7780,Disgaea DS,DS,2008,Role-Playing,Square Enix,0.11,0.02,0.05,0.01,0.19
7270,7781,Peter Jackson's King Kong: The Official Game of the Movie,PSP,2005,Action,Ubisoft,0.16,0.01,0,0.02,0.19
7271,7782,Space Invaders Extreme 2,DS,2009,Action,Square Enix,0.17,0.01,0,0.01,0.19
7272,7783,X-Men Origins: Wolverine,PSP,2009,Action,Activision,0.13,0.03,0,0.03,0.19
7273,7784,Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,2015,Action,Capcom,0,0,0.19,0,0.19
7274,7785,Mystery Tales of Time Travel,DS,2010,Strategy,Foreign Media Games,0.01,0.16,0,0.02,0.19
7275,7786,J-League Excite Stage '96,SNES,1996,Sports,Epoch,0,0,0.19,0,0.19
7276,7787,Risen,X360,2009,Role-Playing,Deep Silver,0.07,0.11,0,0.01,0.19
7277,7788,Hidden Mysteries: Vampire Secrets,DS,2010,Adventure,Astragon,0.06,0.11,0,0.02,0.19
7278,7789,New Love Plus,3DS,2012,Simulation,Konami Digital Entertainment,0,0,0.19,0,0.19
7279,7790,Final Fantasy XI,X360,2006,Role-Playing,Square Enix,0.17,0.01,0,0.01,0.19
7280,7791,Breath of Fire: Dragon Quarter,PS2,2002,Role-Playing,Capcom,0.09,0.07,0,0.02,0.19
7281,7792,Jikkyou J-League Perfect Striker,N64,1996,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19
7282,7793,Dante's Inferno,PSP,2010,Action,Electronic Arts,0.12,0.03,0.01,0.03,0.19
7284,7796,Super Robot Taisen: Scramble Commander,PS2,2003,Strategy,Banpresto,0,0,0.19,0,0.19
7285,7797,Re-Volt,PS,1998,Racing,Acclaim Entertainment,0.11,0.07,0,0.01,0.19
7286,7798,Conception II: Children of the Seven Stars,PSV,2013,Role-Playing,Screenlife,0.13,0,0.04,0.02,0.19
7287,7799,Descent,PS,1996,Action,Interplay,0.11,0.07,0,0.01,0.19
7288,7800,Supreme Commander 2,PC,2010,Strategy,Square Enix,0,0.15,0,0.04,0.19
7290,7802,50 Cent: Blood on the Sand,PS3,2009,Action,THQ,0.1,0.06,0.01,0.03,0.19
7291,7803,Disney's Magical Mirror Starring Mickey Mouse,GC,2002,Adventure,Nintendo,0.15,0.04,0,0.01,0.19
7292,7804,Need for Speed: The Run,3DS,2011,Action,Electronic Arts,0.09,0.09,0,0.02,0.19
7293,7805,Jeep Thrills,Wii,2008,Racing,Zoo Digital Publishing,0.18,0,0,0.01,0.19
7294,7806,Conflict: Denied Ops,PS3,2008,Action,Eidos Interactive,0.05,0.1,0,0.03,0.19
7295,7807,FaceBreaker,X360,2008,Action,Electronic Arts,0.15,0.02,0,0.02,0.19
7296,7808,Major League Baseball 2K12,PS3,2012,Sports,Take-Two Interactive,0.18,0,0,0.01,0.19
7297,7809,Might & Magic: Clash of Heroes,DS,2009,Role-Playing,Ubisoft,0.16,0.02,0,0.01,0.19
7298,7810,Avatar: The Last Airbender - Into the Inferno,Wii,2008,Adventure,THQ,0.17,0.01,0,0.01,0.19
7299,7811,IHRA Professional Drag Racing 2005,PS2,2004,Racing,Bethesda Softworks,0.09,0.07,0,0.02,0.19
7300,7812,Mace Griffin: Bounty Hunter,PS2,2003,Action,Electronic Arts,0.09,0.07,0,0.02,0.19
7301,7813,Legacy of Kain: Defiance,XB,2003,Action,Eidos Interactive,0.14,0.04,0,0.01,0.19
7302,7814,Story of Seasons: Good Friends of the Three Villages,3DS,2016,Simulation,Marvelous Interactive,0,0,0.19,0,0.19
7303,7815,Chaotic: Shadow Warriors,Wii,2009,Action,Activision,0.18,0,0,0.01,0.19
7304,7816,Majin and the Forsaken Kingdom,X360,2010,Adventure,Namco Bandai Games,0.14,0.03,0,0.01,0.19
7306,7818,Tales of the World: Narikiri Dungeon 2,GBA,2002,Role-Playing,Namco Bandai Games,0,0,0.19,0,0.19
7307,7819,Spider-Man: Shattered Dimensions,DS,2010,Action,Activision,0.17,0.01,0,0.01,0.19
7308,7820,Aliens versus Predator: Extinction,PS2,2003,Strategy,Electronic Arts,0.09,0.07,0,0.02,0.19
7309,7821,Plants vs. Zombies,PS3,2011,Strategy,PopCap Games,0.18,0,0,0.01,0.19
7310,7822,NBA Live 14,XOne,2013,Sports,Electronic Arts,0.16,0.02,0,0.01,0.19
7311,7823,Silent Scope 2: Dark Silhouette,PS2,2001,Action,Konami Digital Entertainment,0.09,0.07,0,0.02,0.19
7312,7824,Dave Mirra Freestyle BMX 2,GBA,2001,Sports,Acclaim Entertainment,0.14,0.05,0,0,0.19
7313,7825,Jikkyou Powerful Pro Yakyuu '96 Kaimakuban,SNES,1996,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19
7314,7826,Tokimeki Memorial Girl's Side 3rd Story,DS,2010,Adventure,Konami Digital Entertainment,0,0,0.19,0,0.19
7315,7827,NHL Hitz Pro,PS2,2003,Sports,Midway Games,0.09,0.07,0,0.02,0.19
7316,7828,Tom Clancy's Splinter Cell: Blacklist,PC,2013,Action,Ubisoft,0.04,0.13,0,0.03,0.19
7317,7829,Allied General,PS,1996,Strategy,SSI,0.11,0.07,0,0.01,0.19
7318,7830,Fire ProWrestling G,PS,1999,Action,Human Entertainment,0,0,0.18,0.01,0.19
7319,7831,Kamen Rider: Battride War,PS3,2013,Action,Namco Bandai Games,0,0,0.19,0,0.19
7320,7832,Binary Domain,X360,2012,Action,Sega,0.09,0.07,0.02,0.02,0.19
7321,7833,IL-2 Sturmovik: Birds of Prey,PSP,2009,Simulation,505 Games,0.08,0.07,0,0.04,0.19
7322,7834,Farming Simulator 2015,XOne,2015,Simulation,Koch Media,0.1,0.07,0,0.02,0.19
7323,7835,Armored Core: For Answer,PS3,2008,Simulation,Ubisoft,0.06,0.02,0.1,0.01,0.19
7324,7836,Mahjong: Journey Quest for Tikal,DS,2008,Strategy,Rondomedia,0.15,0.03,0,0.01,0.19
7326,7838,Naruto: Ninja Destiny,DS,2006,Action,Namco Bandai Games,0.02,0.01,0.16,0,0.19
7327,7839,GunGriffon,SAT,1995,Simulation,Sega,0,0,0.19,0,0.19
7330,7842,Darkstalkers 3,PS,1998,Action,Capcom,0.11,0.07,0,0.01,0.19
7331,7843,SpongeBob's Surf & Skate Roadtrip,X360,2011,Action,THQ,0.15,0.03,0,0.01,0.19
7333,7846,Cars: Race-O-Rama,PS3,2009,Racing,THQ,0.14,0.03,0,0.02,0.19
7334,7847,Inazuma Eleven Strikers 2012 Xtreme,Wii,2011,Role-Playing,Level 5,0,0,0.19,0,0.19
7335,7848,The Polar Express,GBA,2004,Adventure,THQ,0.14,0.05,0,0,0.19
7336,7849,2002 FIFA World Cup,XB,2002,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19
7337,7850,Kan Colle Kai,PSV,2016,Action,Kadokawa Games,0,0,0.19,0,0.19
7340,7853,Need for Speed: Shift 2 Unleashed,PC,2011,Racing,Electronic Arts,0.05,0.11,0,0.03,0.19
7341,7854,Monster 4x4: Stunt Racer,Wii,2009,Racing,Ubisoft,0.18,0,0,0.01,0.19
7342,7855,Frogger's Adventures 2: The Lost Wand,GBA,2002,Adventure,Konami Digital Entertainment,0.14,0.05,0,0,0.19
7343,7856,Sudeki,XB,2004,Role-Playing,Microsoft Game Studios,0.14,0.04,0,0.01,0.19
7344,7857,Rango: The Video Game,PS3,2011,Action,Electronic Arts,0.07,0.09,0,0.04,0.19
7345,7858,The Amazing Spider-Man (Console Version),3DS,2012,Action,Activision,0.15,0.03,0,0.01,0.19
7346,7859,"Boku no Natsuyasumi 4: Seitouchi Shounen Tanteidan, Boku to Himitsu no Chizu",PSP,2009,Adventure,Sony Computer Entertainment,0,0,0.19,0,0.19
7347,7860,Hyperdevotion Noire: Goddess Black Heart,PSV,2014,Role-Playing,Idea Factory,0.08,0.02,0.06,0.03,0.19
7348,7861,Hexen,N64,1996,Action,GT Interactive,0.15,0.04,0,0,0.19
7349,7862,Mace: The Dark Age,N64,1997,Action,GT Interactive,0.15,0.04,0,0,0.19
7350,7863,AeroFighters Assault,N64,1997,Action,Video System,0.15,0.04,0,0,0.19
7351,7864,Puyo Puyo Sun 64,N64,1997,Strategy,Compile,0,0,0.16,0.03,0.19
7352,7865,Chou-Kuukan Night Pro Yakyuu King (weekly JP sales),N64,1996,Sports,Imagineer,0,0,0.19,0,0.19
7353,7866,Quake,N64,1998,Action,GT Interactive,0.15,0.04,0,0,0.19
7355,7868,Disney Magic World 2,3DS,2015,Action,Nintendo,0,0,0.19,0,0.19
7356,7869,Squeeballs Party,Wii,2009,Strategy,Performance Designed Products,0.18,0,0,0.01,0.19
7357,7870,Tottadoo! Yoiko no Mujintou Seikatsu,DS,2008,Adventure,Namco Bandai Games,0,0,0.19,0,0.19
7358,7871,Where's Waldo? The Fantastic Journey,Wii,2009,Adventure,Ubisoft,0.18,0,0,0.01,0.19
7360,7873,Teenage Mutant Ninja Turtles 2: Battle Nexus,GC,2004,Action,Konami Digital Entertainment,0.15,0.04,0,0.01,0.19
7361,7874,Saints Row IV,PC,2013,Action,Deep Silver,0.11,0.06,0,0.02,0.19
7362,7875,Fighter Within,XOne,2013,Action,Ubisoft,0.11,0.07,0,0.02,0.19
7363,7876,Barbie Horse Adventures: Riding Camp,PS2,2008,Sports,Activision,0.09,0.07,0,0.02,0.19
7364,7877,SSX Tricky,GBA,2002,Sports,Electronic Arts,0.14,0.05,0,0,0.19
7365,7878,Kenka Banchou 4: Ichinen Sensou,PSP,2010,Action,Spike,0,0,0.19,0,0.19
7366,7879,Warhammer: Shadow of the Horned Rat,PS,1996,Strategy,Mindscape,0.11,0.07,0,0.01,0.19
7367,7880,Shadows of the Damned,X360,2011,Action,Electronic Arts,0.1,0.06,0.01,0.02,0.19
7368,7881,NBA 2K11,PC,2010,Action,Take-Two Interactive,0.18,0,0,0.01,0.19
7369,7882,Pro Yakyuu Team o Tsukurou!,DS,2008,Sports,Sega,0,0,0.19,0,0.19
7370,7883,Warriors: Legends of Troy,PS3,2011,Action,Tecmo Koei,0.06,0.05,0.07,0.02,0.19
7372,7885,ESPN International Track & Field,PS2,2000,Sports,Konami Digital Entertainment,0.09,0.07,0,0.02,0.19
7373,7886,Lunar Legend,GBA,2002,Role-Playing,Media Rings,0.14,0.05,0,0,0.19
7374,7887,Conflict: Global Terror,PS2,2005,Action,Eidos Interactive,0.09,0.07,0,0.02,0.19
7375,7888,Valhalla Knights 3,PSV,2013,Role-Playing,Xseed Games,0.04,0.01,0.12,0.01,0.19
7378,7891,Brunswick Pro Bowling,PS3,2010,Sports,505 Games,0.1,0.06,0,0.03,0.19
7379,7892,Shaun White Skateboarding,PS3,2010,Sports,Ubisoft,0.11,0.05,0,0.03,0.19
7380,7893,Hulk,GC,2003,Action,Universal Interactive,0.15,0.04,0,0.01,0.19
7381,7894,The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment,0,0.16,0,0.03,0.19
7382,7895,Cabela's Survival: Shadows of Katmai,PS3,2011,Sports,Activision,0.11,0.05,0,0.03,0.19
7383,7896,Shaun White Skateboarding,Wii,2010,Sports,Ubisoft,0.14,0.03,0,0.01,0.19
7385,7898,Gungrave,PS2,2002,Action,Activision,0.09,0.07,0,0.02,0.19
7386,7899,Phantasy Star Universe,PS2,2006,Role-Playing,Sega,0,0,0.19,0,0.19
7387,7900,Transworld Surf,PS2,2002,Sports,Atari,0.09,0.07,0,0.02,0.19
7388,7901,God Eater Resurrection,PSV,2015,Action,Namco Bandai Games,0,0,0.19,0,0.19
7389,7902,Tenchu: Fatal Shadows,PS2,2004,Action,Sega,0.09,0.07,0,0.02,0.19
7390,7903,Active Health with Carol Vorderman,DS,2009,Sports,Nintendo,0,0.18,0,0.01,0.19
7391,7904,Escape The Museum,DS,2010,Adventure,Astragon,0.05,0.12,0,0.02,0.19
7392,7906,International Soccer,2600,1981,Sports,Mattel Interactive,0.18,0.01,0,0,0.19
7394,7908,Jewel Master: Cradle of Athena,DS,2010,Strategy,Storm City Games,0.18,0,0,0.01,0.19
7395,7909,Princess Maker: Yumemiru Yosei,PS,1997,Strategy,Sony Computer Entertainment,0,0,0.18,0.01,0.19
7396,7910,Pet Zombies,3DS,,Simulation,Majesco Entertainment,0.18,0,0,0.01,0.19
7397,7911,Big Air,PS,1999,Sports,Accolade,0.1,0.07,0,0.01,0.19
7398,7912,Shining Force II,GEN,1993,Strategy,Sega,0,0,0.19,0,0.19
7399,7913,Gallop Racer,PS,1999,Sports,Tecmo Koei,0,0,0.18,0.01,0.19
7400,7914,Harry Potter and the Prisoner of Azkaban,XB,2004,Action,Electronic Arts,0.14,0.04,0,0.01,0.19
7401,7915,NASCAR Unleashed,3DS,2011,Racing,Activision,0.18,0,0,0.01,0.19
7402,7916,3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,Namco Bandai Games,0,0,0.19,0,0.19
7403,7917,Sudoku Gridmaster (JP sales),DS,2006,Strategy,Nintendo,0,0,0.19,0,0.19
7404,7918,Dynasty Warriors Gundam,X360,2007,Action,Namco Bandai Games,0.15,0.01,0.02,0.01,0.19
7406,7920,Monsters vs. Aliens,PS2,2009,Action,Activision,0.11,0,0,0.08,0.19
7407,7921,CSI: Fatal Conspiracy,PS3,2010,Adventure,Ubisoft,0.11,0.05,0,0.02,0.19
7408,7922,College Slam,PS,1995,Sports,Acclaim Entertainment,0.1,0.07,0,0.01,0.19
7409,7923,Arcania: Gothic 4,PC,2010,Role-Playing,JoWood Productions,0.09,0.08,0,0.02,0.19
7410,7924,Mushroom Men: The Spore Wars,Wii,2008,Action,SouthPeak Games,0.17,0.01,0,0.01,0.19
7411,7925,Zumba Fitness Rush,X360,2012,Sports,505 Games,0,0.16,0,0.02,0.19
7412,7926,Pro Yaky? Spirits 4,PS2,2007,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19
7413,7927,Pictionary,DS,2010,Strategy,THQ,0.1,0.07,0,0.02,0.19
7414,7928,SoulCalibur Legends,Wii,2007,Action,Namco Bandai Games,0.16,0.01,0,0.01,0.19
7416,7930,Rise of the Kasai,PS2,2005,Action,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19
7417,7931,Thoroughbred Breeder,SNES,1993,Simulation,Hect,0,0,0.19,0,0.19
7418,7932,F1 2011,PC,2011,Racing,Codemasters,0,0.15,0,0.04,0.19
7420,7934,Nobunaga no Yabou: Souzou,PS3,2013,Strategy,Tecmo Koei,0,0,0.19,0,0.19
7421,7935,Doctor Who: Return to Earth,Wii,2010,Adventure,Asylum Entertainment,0,0.16,0,0.02,0.19
7422,7936,The Munchables,Wii,2009,Action,Namco Bandai Games,0.17,0,0,0.01,0.19
7424,7938,Chibi-Robo! Park Patrol,DS,2007,Adventure,Unknown,0,0,0.19,0,0.19
7425,7939,Bolt,PS3,2008,Adventure,Disney Interactive Studios,0.12,0.05,0,0.02,0.19
7427,7941,Mathews Bowhunting,Wii,2010,Sports,Zoo Games,0.18,0,0,0.01,0.19
7428,7942,3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,Namco Bandai Games,0,0,0.19,0,0.19
7429,7943,One Piece: Unlimited Adventure,Wii,2007,Adventure,Namco Bandai Games,0.07,0,0.11,0.01,0.19
7430,7944,Remington Super Slam Hunting: North America,Wii,2010,Sports,Mastiff,0.18,0,0,0.01,0.19
7431,7946,Earth Defense Force: Insect Armageddon,X360,2011,Action,D3Publisher,0.1,0.05,0.03,0.01,0.19
7433,7948,Star Trek: Legacy,X360,,Simulation,Ubisoft,0.14,0.03,0,0.02,0.19
7434,7949,ThunderStrike 2,PS,1994,Simulation,Core Design Ltd.,0.1,0.07,0,0.01,0.19
7435,7950,Disney's Meet the Robinsons,Wii,2007,Action,Disney Interactive Studios,0.17,0,0,0.01,0.19
7436,7951,Call of Duty: World at War,PC,2008,Action,Activision,0.02,0.13,0,0.03,0.19
7437,7952,Pro Yaky? Spirits 2012,PS3,2012,Sports,Konami Digital Entertainment,0,0,0.19,0,0.19
7440,7955,Thomas the Tank Engine & Friends,GBA,2004,Adventure,,0.13,0.05,0,0,0.19
7441,7956,Grand Slam Tennis 2,X360,2012,Sports,Electronic Arts,0.1,0.07,0,0.02,0.19
7442,7957,Penguin no Mondai X: Tenkuu no 7 Senshi,DS,2009,Action,Konami Digital Entertainment,0,0,0.19,0,0.19
7443,7958,The Scorpion King: Sword of Osiris,GBA,2002,Action,Vivendi Games,0.13,0.05,0,0,0.19
7444,7960,Reel Fishing Paradise 3D,3DS,2011,Sports,Marvelous Interactive,0.12,0,0.06,0.01,0.19
7445,7961,NCAA Final Four 2001,PS2,2000,Sports,Sony Computer Entertainment,0.09,0.07,0,0.02,0.19
7446,7962,Farmtopia,DS,2010,Simulation,505 Games,0.18,0,0,0.01,0.19
7447,7963,Robin Hood: Defender of the Crown,PS2,2003,Strategy,Capcom,0.09,0.07,0,0.02,0.19
7448,7964,SD Gundam GX,SNES,1994,Strategy,Namco Bandai Games,0,0,0.19,0,0.19
7449,7965,R-Type Final,PS2,2003,Action,Metro 3D,0.09,0.07,0,0.02,0.19
7450,7966,Jackie Chan Adventures: Legend of the Dark Hand,GBA,2001,Action,Activision,0.13,0.05,0,0,0.19
7451,7967,MotoGP,Wii,2009,Racing,Capcom,0.05,0.11,0,0.02,0.19
7452,7968,Sega GT 2002,XB,2002,Racing,Sega,0.12,0.03,0.03,0.01,0.19
7453,7969,Ty the Tasmanian Tiger 3: Night of the Quinkan,PS2,2005,Action,Activision,0.09,0.07,0,0.02,0.19
7454,7970,WWE SmackDown vs. Raw 2009,DS,2008,Action,THQ,0.15,0.02,0,0.01,0.19
7455,7971,Pro Evolution Soccer 2014,3DS,2013,Action,Konami Digital Entertainment,0,0,0.19,0,0.19
7456,7972,Samurai Warriors 2: Empires,PS2,2006,Action,Tecmo Koei,0,0,0.19,0,0.19
7457,7973,Blood Omen 2,XB,2002,Action,Eidos Interactive,0.14,0.04,0,0.01,0.19
7458,7974,Jurassic: The Hunted,PS3,2009,Action,Activision,0.17,0,0,0.02,0.19
7459,7975,J-League Pro Soccer Club o Tsukurou! 5,PS2,2007,Sports,Sega,0,0,0.19,0,0.19
7460,7976,Harry Potter: Quidditch World Cup,XB,2003,Sports,Electronic Arts,0.14,0.04,0,0.01,0.19
7462,7978,Little Battlers eXperience W,PSP,2012,Role-Playing,Level 5,0,0,0.19,0,0.19
7463,7979,Magical Starsign (US sales),DS,2006,Role-Playing,Nintendo,0.16,0.03,0,0,0.19
7464,7980,Tekken Tag Tournament 2,WiiU,2012,Action,Namco Bandai Games,0.09,0.07,0.01,0.01,0.19
7465,7981,Hot Wheels: Battle Force 5,Wii,2009,Racing,Activision,0.17,0,0,0.01,0.19
7466,7982,Dragon Blade: Wrath of Fire,Wii,2007,Action,D3Publisher,0.17,0,0,0.01,0.19
7467,7983,La Pucelle: Tactics,PS2,2002,Role-Playing,Tecmo Koei,0.09,0.07,0,0.02,0.19
7468,7984,Phantasy Star Nova,PSV,2014,Role-Playing,Sega,0,0,0.19,0,0.19
7469,7985,SBK X: Superbike World Championship,X360,2010,Racing,Black Bean Games,0.1,0.07,0,0.02,0.19
7470,7986,Samurai Warriors: State of War,PSP,2005,Action,Tecmo Koei,0.07,0,0.11,0.01,0.19
7471,7987,Tiger Woods PGA Tour 07,XB,2006,Sports,Electronic Arts,0.13,0.05,0,0.01,0.19
7472,7988,Call of Juarez,X360,2007,Action,Ubisoft,0.14,0.02,0,0.01,0.19
7474,7990,The Bee Game,DS,2007,Adventure,Midway Games,0.17,0,0,0.01,0.19
7475,7991,EverQuest Online Adventures: Frontiers,PS2,2003,Role-Playing,Sony Online Entertainment,0.09,0.07,0,0.02,0.19
7476,7992,Cabela's Survival: Shadows of Katmai,X360,2011,Sports,Activision,0.14,0.03,0,0.01,0.19
7477,7993,NBA Ballers: Chosen One,X360,2008,Sports,Midway Games,0.17,0,0,0.01,0.19
7478,7994,WWE All Stars,PSP,2011,Action,THQ,0.12,0.04,0,0.03,0.19
